"Card Name","Card Description","List","Checklist Name","Checklist Items"
"US-1.1: Multi-Role Auth, Navigation Shells & Session Guard","**Type:** Feature | **Epic:** Auth & Navigation | **Estimate:** 5 pts&#10;&#10;Implement Firebase Auth, role resolution, AutoRoute guards, and navigation shells.","Done","Acceptance Criteria","Configure remote datasource; Implement AuthCubit; Create AutoRoute guards; Build layout shells; Unit tests"
"US-1.2: Upgrade to Instructor via Invite Code","**Type:** Feature | **Epic:** Auth & Navigation | **Estimate:** 3 pts&#10;&#10;Allow students to elevate account to admin by redeeming code from instructorInvites collection.","Done","Acceptance Criteria","Build redeem sheet; Validate invite code; Set role admin; Swap shell to AdminLayout; Unit tests"
"US-1.3: Program Creation & 6-Char Invite Code","**Type:** Feature | **Epic:** Programs | **Estimate:** 5 pts&#10;&#10;Instructors create programs with title, type, min attendance %, and auto-generated 6-char code.","Done","Acceptance Criteria","Build create sheet; Implement ProgramsCubit; Generate alphanumeric code; Render program card; Unit tests"
"US-1.4: Instructor Program QR Display Sheet","**Type:** Feature | **Epic:** Programs | **Estimate:** 3 pts&#10;&#10;Instructors open high-contrast PrettyQrView modal of program invite code for class display.","Done","Acceptance Criteria","Create ProgramQrDisplaySheet; Display code & copy button; Add trigger in card and details; High-contrast check"
"US-1.5: Student Join Program via Code & QR Scan","**Type:** Feature | **Epic:** Programs | **Estimate:** 5 pts&#10;&#10;Students join programs by typing 6-char code or scanning program QR with camera.","Done","Acceptance Criteria","Build JoinProgramSheet; Build ProgramQrScannerSheet; Auto-populate & submit; Write enrollment; Prevent duplicates"
"US-1.6: Bilingual Foundation (Arabic RTL & English LTR)","**Type:** Design | **Epic:** Localization | **Estimate:** 5 pts&#10;&#10;Integrate easy_localization with complete RTL mirroring and Cairo/Inter typography.","Done","Acceptance Criteria","Create translation json files; Configure RTL mirroring; Implement language tile; Generate locale_keys.g.dart"
"US-2.1: Ed25519 Cryptographic Token Engine","**Type:** Feature | **Epic:** Attendance | **Estimate:** 5 pts&#10;&#10;Implement Ed25519 key generation, signing, and verification for tamper-proof student cards.","Done","Acceptance Criteria","Implement generateToken; Implement verifyToken; Reject tampered tokens; Unit tests for crypto"
"US-2.2: Method A — Offline Student Badge & Auto-Brightness","**Type:** Feature | **Epic:** Attendance | **Estimate:** 5 pts&#10;&#10;Display offline Ed25519 badge with auto-maximized screen brightness and high-contrast matrix.","Done","Acceptance Criteria","Build StudentQrBody; Integrate screen_brightness; Restore brightness on exit; Offline indicator badge"
"US-2.3: Method A — Instructor Offline Camera Scanner","**Type:** Feature | **Epic:** Attendance | **Estimate:** 5 pts&#10;&#10;Instructor scans student badge, validates signature locally, and writes to offline cache.","Done","Acceptance Criteria","Build AdminScannerBody; Local signature verification; Determine present/late; Write deterministic key; Haptic feedback"
"US-2.4: Method B — Rotating Dynamic Session QR","**Type:** Feature | **Epic:** Attendance | **Estimate:** 5 pts&#10;&#10;Projector mode rotating dynamic SHA-256 HMAC token every 20s with live attendee ticker.","Done","Acceptance Criteria","Generate dynamic tokens; Build DynamicSessionQrSheet; 20s countdown timer; Stream attendee count; Fullscreen mode"
"US-2.5: Method B — Student Self Check-In Scanner","**Type:** Feature | **Epic:** Attendance | **Estimate:** 5 pts&#10;&#10;Students scan projector QR code with camera; validates HMAC within ±1 window tolerance.","Done","Acceptance Criteria","Build StudentScannerSheet; Validate HMAC & timestamp; Enforce enrollment; ScanFeedbackOverlay; Reject expired tokens"
"US-2.6: Vector Cutout Overlay & Emulator Stability","**Type:** Tech Debt | **Epic:** Attendance | **Estimate:** 3 pts&#10;&#10;Replace blend-mode with ScannerOverlayPainter vector subtraction to eliminate green-tint glitches.","Done","Acceptance Criteria","Create ScannerOverlayPainter; Apply across all scanner sheets; Verify on emulators and real devices"
"US-3.1: Session Scheduling & Lifecycle Transitions","**Type:** Feature | **Epic:** Sessions | **Estimate:** 3 pts&#10;&#10;Schedule lecture sessions with time pickers and control state: scheduled to open to closed.","Done","Acceptance Criteria","Build CreateSessionSheet; Implement SessionsCubit; Render SessionCard; Permission checks"
"US-3.2: Automated Absent Marking on Session Closure","**Type:** Feature | **Epic:** Sessions | **Estimate:** 5 pts&#10;&#10;Auto-mark all unmarked enrolled students as absent upon session status transition to closed.","Done","Acceptance Criteria","Implement markUnmarkedStudentsAbsent; Compare enrolled vs checked-in; Batch-write absent; Prevent duplicate runs"
